dataset,model,metric_type,metric_value,metric_90pct_ci,metric_95pct_ci
tox21,chemberta,tox21_NR-AR,0.5278697421981005,[0.4298-0.6260],[0.4110-0.6448]
tox21,chemberta,tox21_NR-AR-LBD,0.565771764539208,[0.4521-0.6795],[0.4303-0.7013]
tox21,chemberta,tox21_NR-AhR,0.6519262566137567,[0.5978-0.7061],[0.5874-0.7164]
tox21,chemberta,tox21_NR-Aromatase,0.567518983418565,[0.4925-0.6426],[0.4781-0.6569]
tox21,chemberta,tox21_NR-ER,0.440795050008476,[0.3829-0.4987],[0.3718-0.5098]
tox21,chemberta,tox21_NR-ER-LBD,0.45996401259559155,[0.3579-0.5620],[0.3384-0.5816]
tox21,chemberta,tox21_NR-PPAR-gamma,0.6412776412776413,[0.5350-0.7475],[0.5147-0.7679]
tox21,chemberta,tox21_SR-ARE,0.406733418453061,[0.3618-0.4517],[0.3532-0.4603]
tox21,chemberta,tox21_SR-ATAD5,0.5149828767123288,[0.4284-0.6015],[0.4119-0.6181]
tox21,chemberta,tox21_SR-HSE,0.46049694985865197,[0.3909-0.5301],[0.3776-0.5434]
tox21,chemberta,tox21_SR-MMP,0.5379586571537776,[0.4848-0.5911],[0.4746-0.6013]
tox21,chemberta,tox21_SR-p53,0.5592261400237329,[0.4974-0.6210],[0.4856-0.6328]
tox21,chemberta,tox21_avg,0.5278767910710743,[0.5047-0.5510],[0.5003-0.5555]
hiv,chemberta,hiv_HIV_active,0.4140487386763966,[0.3745-0.4536],[0.3669-0.4612]
hiv,chemberta,hiv_avg,0.4140487386763966,[0.3745-0.4536],[0.3669-0.4612]
bbbp,chemberta,bbbp_p_np,0.44640449438202245,[0.3774-0.5154],[0.3641-0.5287]
bbbp,chemberta,bbbp_avg,0.44640449438202245,[0.3774-0.5154],[0.3641-0.5287]
bace_classification,chemberta,bace_classification_Class,0.37862318840579706,[0.3011-0.4561],[0.2863-0.4710]
bace_classification,chemberta,bace_classification_avg,0.37862318840579706,[0.3011-0.4561],[0.2863-0.4710]
clintox,chemberta,clintox_FDA_APPROVED,0.7993366500829188,[0.7012-0.8975],[0.6824-0.9163]
clintox,chemberta,clintox_CT_TOX,0.7789473684210526,[0.6334-0.9244],[0.6056-0.9523]
clintox,chemberta,clintox_avg,0.7891420092519856,[0.7014-0.8769],[0.6846-0.8937]
sider,chemberta,sider_Hepatobiliary disorders,0.4200992555831266,[0.3367-0.5035],[0.3207-0.5195]
sider,chemberta,sider_Metabolism and nutrition disorders,0.5212885154061625,[0.4319-0.6107],[0.4148-0.6278]
sider,chemberta,sider_Product issues,0.064,[-0.0121-0.1401],[-0.0267-0.1547]
sider,chemberta,sider_Eye disorders,0.5684931506849316,[0.4845-0.6525],[0.4684-0.6686]
sider,chemberta,sider_Investigations,0.25563063063063063,[0.1340-0.3772],[0.1108-0.4005]
sider,chemberta,sider_Musculoskeletal and connective tissue disorders,0.5034364261168385,[0.4040-0.6029],[0.3849-0.6220]
