dataset,model,metric_type,metric_value,metric_90pct_ci,metric_95pct_ci
qm9,chemberta,qm9_A,0.0878521381791701,[0.0737-0.1019],[0.0710-0.1046]
qm9,chemberta,qm9_B,0.14213782709145129,[0.1282-0.1560],[0.1255-0.1587]
qm9,chemberta,qm9_C,0.19518499781957427,[0.1815-0.2088],[0.1788-0.2114]
qm9,chemberta,qm9_mu,-0.134747590179905,[-0.1487--0.1208],[-0.1513--0.1181]
qm9,chemberta,qm9_alpha,-0.0734165900229997,[-0.0875--0.0593],[-0.0902--0.0565]
qm9,chemberta,qm9_homo,0.04758837880457102,[0.0334-0.0618],[0.0307-0.0645]
qm9,chemberta,qm9_lumo,0.1369682286692471,[0.1230-0.1509],[0.1203-0.1536]
qm9,chemberta,qm9_gap,0.06169985275981235,[0.0475-0.0759],[0.0448-0.0786]
qm9,chemberta,qm9_r2,0.1997156039658828,[0.1860-0.2133],[0.1834-0.2159]
qm9,chemberta,qm9_zpve,-0.16611066852940565,[-0.1799--0.1523],[-0.1825--0.1496]
qm9,chemberta,qm9_u0,0.302022812188014,[0.2890-0.3149],[0.2865-0.3173]
qm9,chemberta,qm9_u298,0.3020144509640754,[0.2890-0.3149],[0.2865-0.3173]
qm9,chemberta,qm9_h298,0.3020129903501987,[0.2890-0.3149],[0.2865-0.3173]
qm9,chemberta,qm9_g298,0.3020449735858244,[0.2891-0.3149],[0.2866-0.3174]
qm9,chemberta,qm9_cv,-0.01120905098044259,[-0.0254-0.0030],[-0.0281-0.0057]
qm9,chemberta,qm9_u0_atom,-0.17222746918047044,[-0.1860--0.1584],[-0.1886--0.1557]
qm9,chemberta,qm9_u298_atom,-0.1725879322525335,[-0.1863--0.1588],[-0.1890--0.1561]
qm9,chemberta,qm9_h298_atom,-0.17255591795284272,[-0.1863--0.1587],[-0.1889--0.1561]
qm9,chemberta,qm9_g298_atom,-0.17377017277707135,[-0.1875--0.1599],[-0.1901--0.1573]
qm9,chemberta,qm9_avg,0.05276930855274477,[0.0495-0.0560],[0.0489-0.0567]
