dataset,model,metric_type,metric_value,metric_90pct_ci,metric_95pct_ci
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_NR-AR,0.6890094979647219,[0.5907-0.7873],[0.5719-0.8061]
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_NR-AR-LBD,0.8144081603740172,[0.7156-0.9132],[0.6967-0.9321]
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_NR-AhR,0.7632936507936507,[0.7134-0.8132],[0.7038-0.8228]
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_NR-Aromatase,0.7068960173562684,[0.6338-0.7800],[0.6198-0.7940]
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_NR-ER,0.7242329208340397,[0.6650-0.7835],[0.6536-0.7948]
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_NR-ER-LBD,0.637812479917743,[0.5290-0.7466],[0.5082-0.7674]
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_NR-PPAR-gamma,0.6890663390663391,[0.5844-0.7937],[0.5644-0.8137]
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_SR-ARE,0.5748807203816948,[0.5258-0.6239],[0.5164-0.6333]
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_SR-ATAD5,0.7155821917808219,[0.6298-0.8013],[0.6134-0.8178]
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_SR-HSE,0.6859098348460051,[0.6135-0.7583],[0.5996-0.7722]
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_SR-MMP,0.7036405911581094,[0.6519-0.7554],[0.6420-0.7653]
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_SR-p53,0.7206306153585355,[0.6612-0.7801],[0.6498-0.7914]
tox21,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,tox21_avg,0.7021135849859955,[0.6793-0.7249],[0.6750-0.7293]
hiv,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,hiv_HIV_active,0.7507273842476094,[0.7092-0.7922],[0.7013-0.8002]
hiv,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,hiv_avg,0.7507273842476094,[0.7092-0.7922],[0.7013-0.8002]
bbbp,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,bbbp_p_np,0.7213483146067415,[0.6611-0.7816],[0.6495-0.7932]
bbbp,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,bbbp_avg,0.7213483146067415,[0.6611-0.7816],[0.6495-0.7932]
bace_classification,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,bace_classification_Class,0.8096014492753623,[0.7533-0.8659],[0.7425-0.8767]
bace_classification,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,bace_classification_avg,0.8096014492753623,[0.7533-0.8659],[0.7425-0.8767]
clintox,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,clintox_FDA_APPROVED,0.9436152570480928,[0.9058-0.9814],[0.8986-0.9887]
clintox,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,clintox_CT_TOX,0.9676691729323309,[0.9028-1.0326],[0.8903-1.0450]
clintox,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,clintox_avg,0.9556422149902118,[0.9181-0.9932],[0.9109-1.0004]
sider,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,sider_Hepatobiliary disorders,0.5975186104218362,[0.5150-0.6801],[0.4992-0.6959]
sider,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,sider_Metabolism and nutrition disorders,0.48991596638655466,[0.3998-0.5800],[0.3826-0.5973]
sider,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,sider_Product issues,0.808,[0.4998-1.1162],[0.4407-1.1753]
sider,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,sider_Eye disorders,0.6100963977676307,[0.5280-0.6922],[0.5123-0.7079]
sider,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,sider_Investigations,0.6204954954954955,[0.5053-0.7357],[0.4832-0.7578]
sider,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,sider_Musculoskeletal and connective tissue disorders,0.672852233676976,[0.5866-0.7591],[0.5701-0.7756]
sider,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,sider_Gastrointestinal disorders,0.6290598290598292,[0.4899-0.7682],[0.4633-0.7948]
sider,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,sider_Social circumstances,0.6238738738738738,[0.4937-0.7540],[0.4688-0.7789]
sider,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,sider_Immune system disorders,0.5113851992409868,[0.4162-0.6066],[0.3980-0.6248]
