dataset,model,metric_type,metric_value,metric_90pct_ci,metric_95pct_ci
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_A,0.19345704919598034,[0.1797-0.2071],[0.1771-0.2097]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_B,0.6334557694620189,[0.6249-0.6419],[0.6232-0.6435]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_C,0.6757971914067291,[0.6680-0.6834],[0.6665-0.6849]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_mu,0.708647394723113,[0.7015-0.7157],[0.7001-0.7170]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_alpha,0.9225085751362095,[0.9204-0.9246],[0.9199-0.9250]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_homo,0.8161463809335133,[0.8113-0.8208],[0.8104-0.8217]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_lumo,0.9187908647876946,[0.9165-0.9210],[0.9161-0.9214]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_gap,0.8967881868472467,[0.8940-0.8995],[0.8934-0.9001]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_r2,0.9000704321436056,[0.8973-0.9027],[0.8968-0.9032]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_zpve,0.9611485229933217,[0.9601-0.9622],[0.9598-0.9624]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_u0,0.9444981558985033,[0.9429-0.9460],[0.9426-0.9463]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_u298,0.9444997578072344,[0.9429-0.9460],[0.9426-0.9463]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_h298,0.9444997398088788,[0.9429-0.9460],[0.9426-0.9463]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_g298,0.9444962140846953,[0.9429-0.9460],[0.9426-0.9463]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_cv,0.9457870921850127,[0.9443-0.9473],[0.9440-0.9475]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_u0_atom,0.9537394153135609,[0.9524-0.9550],[0.9522-0.9552]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_u298_atom,0.9538143131035721,[0.9525-0.9551],[0.9523-0.9553]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_h298_atom,0.9538486386922795,[0.9525-0.9551],[0.9523-0.9554]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_g298_atom,0.9536682153073635,[0.9524-0.9549],[0.9521-0.9552]
qm9,s3://shvaibackups/mol_porque/e768_l20_h12_decode1_constrast1/80001.pt,qm9_avg,0.8508243110437123,[0.8476-0.8541],[0.8469-0.8547]
