dataset,model,metric_type,metric_value,metric_90pct_ci,metric_95pct_ci
tox21,molformer,tox21_NR-AR,0.7456173677069199,[0.6512-0.8401],[0.6331-0.8582]
tox21,molformer,tox21_NR-AR-LBD,0.7928738400510024,[0.6906-0.8951],[0.6710-0.9147]
tox21,molformer,tox21_NR-AhR,0.7828869047619048,[0.7342-0.8316],[0.7249-0.8409]
tox21,molformer,tox21_NR-Aromatase,0.6519138385247172,[0.5770-0.7268],[0.5626-0.7412]
tox21,molformer,tox21_NR-ER,0.7036150194948297,[0.6435-0.7638],[0.6320-0.7753]
tox21,molformer,tox21_NR-ER-LBD,0.6703939335518283,[0.5625-0.7783],[0.5418-0.7989]
tox21,molformer,tox21_NR-PPAR-gamma,0.6069410319410319,[0.5004-0.7134],[0.4800-0.7338]
tox21,molformer,tox21_SR-ARE,0.5778106310059808,[0.5287-0.6269],[0.5193-0.6363]
tox21,molformer,tox21_SR-ATAD5,0.6967893835616439,[0.6100-0.7836],[0.5934-0.8002]
tox21,molformer,tox21_SR-HSE,0.6796012498140157,[0.6069-0.7523],[0.5930-0.7662]
tox21,molformer,tox21_SR-MMP,0.7335488597273538,[0.6830-0.7841],[0.6734-0.7937]
tox21,molformer,tox21_SR-p53,0.64267248686218,[0.5809-0.7044],[0.5691-0.7163]
tox21,molformer,tox21_avg,0.6903887122502841,[0.6675-0.7133],[0.6631-0.7177]
hiv,molformer,hiv_HIV_active,0.7498171709864117,[0.7083-0.7914],[0.7003-0.7993]
hiv,molformer,hiv_avg,0.7498171709864117,[0.7083-0.7914],[0.7003-0.7993]
bbbp,molformer,bbbp_p_np,0.6829213483146067,[0.6198-0.7461],[0.6077-0.7581]
bbbp,molformer,bbbp_avg,0.6829213483146067,[0.6198-0.7461],[0.6077-0.7581]
bace_classification,molformer,bace_classification_Class,0.7985507246376812,[0.7407-0.8564],[0.7296-0.8675]
bace_classification,molformer,bace_classification_avg,0.7985507246376812,[0.7407-0.8564],[0.7296-0.8675]
clintox,molformer,clintox_FDA_APPROVED,0.9742951907131012,[0.9527-0.9959],[0.9486-1.0000]
clintox,molformer,clintox_CT_TOX,0.981203007518797,[0.9312-1.0312],[0.9217-1.0407]
clintox,molformer,clintox_avg,0.9777490991159491,[0.9505-1.0050],[0.9453-1.0102]
sider,molformer,sider_Hepatobiliary disorders,0.5962779156327543,[0.5137-0.6789],[0.4979-0.6947]
sider,molformer,sider_Metabolism and nutrition disorders,0.5352941176470588,[0.4464-0.6242],[0.4293-0.6413]
sider,molformer,sider_Product issues,0.8320000000000001,[0.5372-1.1268],[0.4807-1.1833]
sider,molformer,sider_Eye disorders,0.6681887366818873,[0.5900-0.7464],[0.5750-0.7613]
sider,molformer,sider_Investigations,0.7105855855855856,[0.6106-0.8106],[0.5914-0.8297]
sider,molformer,sider_Musculoskeletal and connective tissue disorders,0.713745704467354,[0.6329-0.7946],[0.6174-0.8101]
sider,molformer,sider_Gastrointestinal disorders,0.7128205128205128,[0.5924-0.8332],[0.5693-0.8563]
sider,molformer,sider_Social circumstances,0.6238738738738738,[0.4937-0.7540],[0.4688-0.7789]
sider,molformer,sider_Immune system disorders,0.567046173308033,[0.4745-0.6596],[0.4568-0.6773]
sider,molformer,sider_Reproductive system and breast disorders,0.7155432595573441,[0.6416-0.7895],[0.6275-0.8036]
sider,molformer,"sider_Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.561250805931657,[0.4638-0.6587],[0.4452-0.6773]
sider,molformer,sider_General disorders and administration site conditions,0.6666666666666666,[0.5586-0.7747],[0.5379-0.7954]
sider,molformer,sider_Endocrine disorders,0.5562962962962963,[0.4515-0.6611],[0.4315-0.6811]
sider,molformer,sider_Surgical and medical procedures,0.5920289855072464,[0.4435-0.7406],[0.4151-0.7690]
sider,molformer,sider_Vascular disorders,0.6101337086558762,[0.5164-0.7039],[0.4984-0.7219]
sider,molformer,sider_Blood and lymphatic system disorders,0.7330769230769231,[0.6611-0.8051],[0.6473-0.8188]
sider,molformer,sider_Skin and subcutaneous tissue disorders,0.6951219512195123,[0.5058-0.8844],[0.4696-0.9206]
sider,molformer,"sider_Congenital, familial and genetic disorders",0.6542792792792793,[0.5252-0.7834],[0.5005-0.8081]
sider,molformer,sider_Infections and infestations,0.6025862068965517,[0.5161-0.6890],[0.4996-0.7056]
sider,molformer,"sider_Respiratory, thoracic and mediastinal disorders",0.7352150537634409,[0.6581-0.8123],[0.6433-0.8271]
sider,molformer,sider_Psychiatric disorders,0.5885885885885885,[0.4996-0.6776],[0.4825-0.6947]
sider,molformer,sider_Renal and urinary disorders,0.6887366818873669,[0.6123-0.7652],[0.5977-0.7798]
sider,molformer,"sider_Pregnancy, puerperium and perinatal conditions",0.6245901639344262,[0.3997-0.8495],[0.3567-0.8925]
sider,molformer,sider_Ear and labyrinth disorders,0.5635548523206751,[0.4763-0.6508],[0.4596-0.6675]
sider,molformer,sider_Cardiac disorders,0.6266106442577032,[0.5428-0.7104],[0.5267-0.7265]
sider,molformer,sider_Nervous system disorders,0.6516007532956685,[0.5106-0.7926],[0.4836-0.8196]
sider,molformer,"sider_Injury, poisoning and procedural complications",0.6423423423423423,[0.5575-0.7272],[0.5413-0.7434]
sider,molformer,sider_avg,0.6469650290183194,[0.6233-0.6707],[0.6187-0.6752]
all_classification,molformer,classification_avg,0.7577320140538752,[0.7403-0.7751],[0.7370-0.7785]
bace_regression,molformer,bace_regression_pIC50,0.7662327985408779,[0.7046-0.8164],[0.6914-0.8248]
bace_regression,molformer,bace_regression_avg,0.7662327985408779,[0.7046-0.8164],[0.6914-0.8248]
clearance,molformer,clearance_target,0.528489619372321,[0.3844-0.6474],[0.3542-0.6673]
clearance,molformer,clearance_avg,0.528489619372321,[0.3844-0.6474],[0.3542-0.6673]
lipo,molformer,lipo_exp,0.6323362056515112,[0.5815-0.6782],[0.5712-0.6865]
lipo,molformer,lipo_avg,0.6323362056515112,[0.5815-0.6782],[0.5712-0.6865]
freesolv,molformer,freesolv_y,0.7037096629175993,[0.5821-0.7945],[0.5551-0.8088]
freesolv,molformer,freesolv_avg,0.7037096629175993,[0.5821-0.7945],[0.5551-0.8088]
delaney,molformer,delaney_measured log solubility in mols per litre,0.8841151362196049,[0.8447-0.9140],[0.8359-0.9188]
delaney,molformer,delaney_avg,0.8841151362196049,[0.8447-0.9140],[0.8359-0.9188]
all_regression,molformer,regression_avg,0.7029766845403829,[0.6319-0.7741],[0.6183-0.7877]
