dataset,model,metric_type,metric_value,metric_90pct_ci,metric_95pct_ci
qm9,molformer,qm9_A,0.23839885384384268,[0.2249-0.2518],[0.2224-0.2543]
qm9,molformer,qm9_B,0.5754326944259217,[0.5658-0.5849],[0.5640-0.5867]
qm9,molformer,qm9_C,0.6033088816553271,[0.5942-0.6123],[0.5924-0.6140]
qm9,molformer,qm9_mu,0.6895817364674042,[0.6821-0.6970],[0.6806-0.6984]
qm9,molformer,qm9_alpha,0.8473387668380242,[0.8433-0.8513],[0.8425-0.8520]
qm9,molformer,qm9_homo,0.8162451774127033,[0.8114-0.8209],[0.8105-0.8218]
qm9,molformer,qm9_lumo,0.9092999149713284,[0.9068-0.9117],[0.9063-0.9122]
qm9,molformer,qm9_gap,0.8887287897540795,[0.8857-0.8917],[0.8851-0.8922]
qm9,molformer,qm9_r2,0.8265525966280474,[0.8220-0.8310],[0.8211-0.8318]
qm9,molformer,qm9_zpve,0.9518677204785191,[0.9505-0.9532],[0.9503-0.9534]
qm9,molformer,qm9_u0,0.8627112413549607,[0.8590-0.8663],[0.8583-0.8670]
qm9,molformer,qm9_u298,0.8627141639761355,[0.8590-0.8663],[0.8583-0.8670]
qm9,molformer,qm9_h298,0.8627141031938658,[0.8590-0.8663],[0.8583-0.8670]
qm9,molformer,qm9_g298,0.8627071159143895,[0.8590-0.8663],[0.8583-0.8670]
qm9,molformer,qm9_cv,0.9035908332030659,[0.9009-0.9062],[0.9004-0.9067]
qm9,molformer,qm9_u0_atom,0.9232293732721639,[0.9211-0.9253],[0.9207-0.9257]
qm9,molformer,qm9_u298_atom,0.9235365687911674,[0.9214-0.9256],[0.9210-0.9260]
qm9,molformer,qm9_h298_atom,0.9236658702596761,[0.9216-0.9257],[0.9211-0.9261]
qm9,molformer,qm9_g298_atom,0.9225205800219599,[0.9204-0.9246],[0.9200-0.9250]
qm9,molformer,qm9_avg,0.8102181569717148,[0.8070-0.8135],[0.8063-0.8141]
